zip,propType,propImage,propRating,propReview,propDescription,propCost,thingImage,thingType,thingDescription,thingCost
10175^sint ex corporis^https://sdc-mtservice.s3.amazonaws.com/properties/329-420x270.jpg^^211^ea et dolores^165$/night^https://sdc-mtservice.s3.amazonaws.com/things/134-420x270.jpg^ea^et placeat numquam^138$/person
10175^dolores minima atque^https://sdc-mtservice.s3.amazonaws.com/properties/421-420x270.jpg^^29^iure doloremque corporis^152$/night^https://sdc-mtservice.s3.amazonaws.com/things/259-420x270.jpg^unde^rem excepturi quod^109$/person
10175^aliquid maxime optio^https://sdc-mtservice.s3.amazonaws.com/properties/247-420x270.jpg^^66^iusto quaerat numquam^36$/night^https://sdc-mtservice.s3.amazonaws.com/things/906-420x270.jpg^quas^harum sit eligendi^103$/person
10175^fugit quibusdam doloribus^https://sdc-mtservice.s3.amazonaws.com/properties/512-420x270.jpg^^68^id voluptatem ut^146$/night^https://sdc-mtservice.s3.amazonaws.com/things/163-420x270.jpg^unde^vel libero labore^120$/person
10175^aut doloremque et^https://sdc-mtservice.s3.amazonaws.com/properties/placeimg_420_270_nature (7).jpg^^40^et molestiae et^161$/night^https://sdc-mtservice.s3.amazonaws.com/things/651-420x270.jpg^numquam^saepe optio inventore^116$/person
12382^qui earum autem^https://sdc-mtservice.s3.amazonaws.com/properties/827-420x270.jpg^^181^quos sequi quasi^167$/night^https://sdc-mtservice.s3.amazonaws.com/things/373-420x270.jpg^explicabo^iusto architecto quos^96$/person
12382^maiores velit quia^https://sdc-mtservice.s3.amazonaws.com/properties/131-420x270.jpg^^322^asperiores occaecati ut^143$/night^https://sdc-mtservice.s3.amazonaws.com/things/30-420x270.jpg^quis^nobis magni est^72$/person
12382^vel dolores sit^https://sdc-mtservice.s3.amazonaws.com/properties/7-420x270.jpg^^45^eligendi possimus iusto^117$/night^https://sdc-mtservice.s3.amazonaws.com/things/placeimg_420_270_arch (8).jpg^possimus^voluptas non incidunt^121$/person
12382^labore sint ut^https://sdc-mtservice.s3.amazonaws.com/properties/418-420x270.jpg^^137^facere quis illo^52$/night^https://sdc-mtservice.s3.amazonaws.com/things/512-420x270.jpg^sit^quisquam nemo reprehenderit^64$/person
12382^magni nobis sit^https://sdc-mtservice.s3.amazonaws.com/properties/placeimg_420_270_nature.jpg^^343^dolor optio sit^198$/night^https://sdc-mtservice.s3.amazonaws.com/things/677-420x270.jpg^dolorum^velit labore exercitationem^86$/person
